source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_qty,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason,dedup_key,source_section
47,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine SEAL-OIL CRANKS (Crankshaft oil seal, rear))","SEAL-OIL CRANKS (Crankshaft oil seal, rear))",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SEAL-OIL-CRANKS-CRANKSHAFT-OIL-SEAL-REAR,"Nissan Navara – YD25 engine - SEAL-OIL CRANKS (Crankshaft oil seal, rear))",stock,1,1,170099.51,30617.91,200717.42,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SEAL OIL CRANKS CRANKSHAFT OIL SEAL REAR,Engine Components
48,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine HEAD CYLINDER (Cylinder head),HEAD CYLINDER (Cylinder head),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-HEAD-CYLINDER-CYLINDER-HEAD,Nissan Navara – YD25 engine - HEAD CYLINDER (Cylinder head),stock,1,1,6443666.50,1159859.97,7603526.47,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,HEAD CYLINDER CYLINDER HEAD,Engine Components
49,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Cylinder head refacing,Cylinder head refacing,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CYLINDER-HEAD-REFACING,Nissan Navara – YD25 engine - Cylinder head refacing,stock,1,1,1065806.46,191845.16,1257651.62,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CYLINDER HEAD REFACING,Engine Components
50,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Gasket Cylinder (Cylinde head gasket),Gasket Cylinder (Cylinde head gasket),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GASKET-CYLINDER-CYLINDE-HEAD-GASKET,Nissan Navara – YD25 engine - Gasket Cylinder (Cylinde head gasket),stock,1,1,305436.00,54978.48,360414.48,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GASKET CYLINDER CYLINDE HEAD GASKET,Engine Components
51,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine GASKET-ROCKER C (Rocker cover gasket),GASKET-ROCKER C (Rocker cover gasket),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GASKET-ROCKER-C-ROCKER-COVER-GASKET,Nissan Navara – YD25 engine - GASKET-ROCKER C (Rocker cover gasket),stock,1,1,137380.32,24728.46,162108.78,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GASKET ROCKER C ROCKER COVER GASKET,Engine Components
52,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine INSULATOR-ENGIN (Engine  mounting, rear)","INSULATOR-ENGIN (Engine  mounting, rear)",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-INSULATOR-ENGIN-ENGINE-MOUNTING-REAR,"Nissan Navara – YD25 engine - INSULATOR-ENGIN (Engine  mounting, rear)",stock,1,1,2626772.72,472819.09,3099591.81,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,INSULATOR ENGIN ENGINE MOUNTING REAR,Engine Components
53,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine INSULATOR-ENG M (Engine mounting, front)","INSULATOR-ENG M (Engine mounting, front)",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-INSULATOR-ENG-M-ENGINE-MOUNTING-FRONT,"Nissan Navara – YD25 engine - INSULATOR-ENG M (Engine mounting, front)",stock,1,1,587060.58,105670.90,692731.48,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,INSULATOR ENG M ENGINE MOUNTING FRONT,Engine Components
54,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Plug Drain,Plug Drain,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PLUG-DRAIN,Nissan Navara – YD25 engine - Plug Drain,stock,1,1,18057.42,3250.34,21307.76,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PLUG DRAIN,Engine Components
55,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine ENGINE BARE, complete engine assy","ENGINE BARE, complete engine assy",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-ENGINE-BARE-COMPLETE-ENGINE-ASSY,"Nissan Navara – YD25 engine - ENGINE BARE, complete engine assy",stock,1,1,76910979.35,13843976.28,90754955.63,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,ENGINE BARE COMPLETE ENGINE ASSY,Engine Components
56,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine RING SET-PISTON (Piston rings),RING SET-PISTON (Piston rings),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-RING-SET-PISTON-PISTON-RINGS,Nissan Navara – YD25 engine - RING SET-PISTON (Piston rings),stock,1,1,1673182.37,301172.83,1974355.20,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,RING SET PISTON PISTON RINGS,Engine Components
57,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PISTON WITH PIN (Piston),PISTON WITH PIN (Piston),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PISTON-WITH-PIN-PISTON,Nissan Navara – YD25 engine - PISTON WITH PIN (Piston),stock,1,4,4246013.03,764282.35,5010295.38,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PISTON WITH PIN PISTON,Engine Components
58,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Bearing Set (Main bearings),Bearing Set (Main bearings),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BEARING-SET-MAIN-BEARINGS,Nissan Navara – YD25 engine - Bearing Set (Main bearings),stock,1,1,231336.49,41640.57,272977.06,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BEARING SET MAIN BEARINGS,Engine Components
